location,technology,capacity,units
AUS,Gas,7750.0,31
AUS,WindOn,13700.0,137
BEL,Gas,6750.0,27
BEL,WindOn,500.0,5
BLK,Nuclear,30000.0,30
BLK,WindOn,100.0,1
BLT,Gas,1750.0,7
BLT,Oil,100.0,1
BLT,WindOff,1200.0,12
BLT,WindOn,1400.0,14
CZE,Nuclear,9000.0,9
DEN,Gas,6250.0,25
DEN,WindOn,7200.0,72
FIN,Nuclear,4000.0,4
FIN,WindOn,11500.0,115
FRA,Nuclear,67000.0,67
GER,Gas,36250.0,145
GER,WindOff,56200.0,562
IRE,Gas,2000.0,8
IRE,WindOff,600.0,6
IRE,WindOn,7300.0,73
ITA,Gas,19000.0,76
ITA,SunPV,30250.0,605
ITA,WindOn,43500.0,435
NED,SunPV,22050.0,441
NED,WindOff,12000.0,120
NED,WindOn,159500.0,1595
NOR,WindOn,267700.0,2677
POL,Gas,8250.0,33
POL,WindOn,30600.0,306
POR,Gas,4750.0,19
POR,SunPV,750.0,15
POR,WindOn,1400.0,14
SKO,Nuclear,3000.0,3
SPA,Nuclear,28000.0,28
SWE,Nuclear,12000.0,12
SWI,Nuclear,16000.0,16
UKI,Nuclear,35000.0,35
UKI,WindOn,19600.0,196
