location,technology,capacity,units
AUS,Gas,1574.42687627322,6.2977075050928795
AUS,WindOn,22839.784437414753,228.39784437414755
BEL,Gas,6610.002168987905,26.44000867595162
BEL,WindOn,3752.734100733854,37.52734100733854
BLK,Nuclear,32489.64264213229,32.48964264213229
BLT,Gas,2601.7669534896327,10.40706781395853
BLT,WindOn,4996.177555918284,49.96177555918284
CZE,Nuclear,8473.415072367912,8.473415072367912
DEN,Gas,5868.932012706569,23.475728050826277
DEN,WindOn,14612.71089531861,146.1271089531861
FIN,Gas,1298.1950473045817,5.192780189218327
FIN,Nuclear,3914.636821223763,3.914636821223763
FIN,WindOn,12189.682720064511,121.89682720064512
FRA,Gas,276.4799278599867,1.1059197114399466
FRA,Nuclear,65778.3899269933,65.7783899269933
GER,Gas,44184.4887094837,176.7379548379348
GER,WindOff,33959.28178315513,339.5928178315513
GER,WindOn,15984.063927755571,159.8406392775557
IRE,Gas,2704.2559057696026,10.817023623078411
IRE,WindOn,8197.232117662037,81.97232117662037
ITA,Gas,18603.33090663971,74.41332362655884
ITA,SunPV,23968.141555199734,479.36283110399467
ITA,WindOn,46890.04586692743,468.9004586692743
NED,SunPV,20395.081636603787,407.9016327320757
NED,WindOff,45045.592910399624,450.45592910399625
NED,WindOn,49285.06674569428,492.8506674569428
NOR,SunPV,10478.817668636933,209.57635337273868
NOR,WindOff,40990.57922112761,409.9057922112761
NOR,WindOn,67124.59298833288,671.2459298833288
POL,Gas,10080.392080581807,40.32156832232723
POL,WindOn,32338.350157122022,323.3835015712202
POR,Gas,1935.610036466799,7.742440145867197
POR,SunPV,638.2373120368165,12.764746240736331
POR,WindOn,1797.7235605836431,17.97723560583643
SKO,Nuclear,3074.1655626037336,3.0741655626037336
SPA,Gas,1763.8191666138846,7.055276666455538
SPA,Nuclear,28483.264338921832,28.48326433892183
SWE,Nuclear,11686.265131017766,11.686265131017766
SWE,WindOn,744.3076599004175,7.443076599004176
SWI,Nuclear,15728.370273552287,15.728370273552288
UKI,Gas,2665.764609340731,10.663058437362924
UKI,Nuclear,41875.23268690243,41.875232686902436
