location,technology,capacity,units
AUS,SunPV,17600.0,352
AUS,WindOn,15900.0,159
BEL,Gas,7500.0,30
BEL,WindOn,300.0,3
BLK,Nuclear,32000.0,32
BLT,Gas,2000.0,8
BLT,WindOff,1600.0,16
BLT,WindOn,1000.0,10
CZE,Nuclear,9000.0,9
DEN,Gas,1500.0,6
DEN,WindOn,8800.0,88
FIN,Nuclear,3000.0,3
FIN,WindOn,14900.0,149
FRA,Nuclear,67000.0,67
GER,Gas,65000.0,260
GER,WindOff,24500.0,245
GER,WindOn,34300.0,343
IRE,Gas,1750.0,7
IRE,WindOff,100.0,1
IRE,WindOn,6900.0,69
ITA,Gas,18500.0,74
ITA,SunPV,24200.0,484
ITA,WindOff,10100.0,101
ITA,WindOn,16700.0,167
NED,SunPV,47050.0,941
NED,WindOff,52000.0,520
NED,WindOn,179700.0,1797
NOR,SunPV,32050.0,641
NOR,WindOff,84800.0,848
NOR,WindOn,280400.0,2804
POL,Gas,12000.0,48
POL,WindOn,36100.0,361
POR,Gas,1500.0,6
POR,SunPV,650.0,13
POR,WindOn,2100.0,21
SKO,Nuclear,3000.0,3
SPA,Nuclear,28000.0,28
SWE,Nuclear,10000.0,10
SWE,WindOn,7600.0,76
SWI,Nuclear,16000.0,16
UKI,Nuclear,47000.0,47
