location,technology,capacity,units
AUS,WindOn,26000.0,260
BEL,Gas,5000.0,20
BEL,WindOn,600.0,6
BLK,Nuclear,33000.0,33
BLT,Gas,2000.0,8
BLT,WindOff,500.0,5
BLT,WindOn,1300.0,13
CZE,Nuclear,8000.0,8
CZE,WindOn,1900.0,19
DEN,Gas,4250.0,17
DEN,WindOn,11300.0,113
FIN,Nuclear,11000.0,11
FRA,Nuclear,59000.0,59
GER,Gas,50250.0,201
GER,WindOff,3500.0,35
GER,WindOn,61700.0,617
IRE,Gas,1250.0,5
IRE,WindOn,8100.0,81
ITA,Gas,20000.0,80
ITA,SunPV,42850.0,857
ITA,WindOn,30300.0,303
NED,SunPV,25100.0,502
NED,WindOff,20700.0,207
NED,WindOn,128500.0,1285
NOR,SunPV,49600.0,992
NOR,WindOff,108900.0,1089
NOR,WindOn,107200.0,1072
POL,Gas,10250.0,41
POL,WindOn,29000.0,290
POR,Gas,4500.0,18
POR,SunPV,2600.0,52
SKO,Nuclear,3000.0,3
SPA,Nuclear,30000.0,30
SWE,Nuclear,9000.0,9
SWI,Nuclear,17000.0,17
UKI,Nuclear,38000.0,38
UKI,WindOn,12100.0,121
