location,technology,capacity,units
AUS,Gas,8000.0,32
AUS,SunPV,16150.0,323
AUS,WindOn,11900.0,119
BEL,Gas,5500.0,22
BEL,WindOn,12800.0,128
BLK,Nuclear,32000.0,32
BLK,WindOn,1800.0,18
BLT,Gas,750.0,3
BLT,WindOn,7200.0,72
CZE,Nuclear,9000.0,9
DEN,Gas,11250.0,45
DEN,WindOn,3800.0,38
FIN,Nuclear,4000.0,4
FIN,WindOn,13400.0,134
FRA,Nuclear,60000.0,60
GER,Gas,42250.0,169
GER,WindOff,29200.0,292
GER,WindOn,40000.0,400
IRE,Gas,2000.0,8
IRE,WindOn,7700.0,77
ITA,Gas,18500.0,74
ITA,SunPV,24550.0,491
ITA,WindOff,2900.0,29
ITA,WindOn,38000.0,380
NED,SunPV,41150.0,823
NED,WindOff,24000.0,240
NED,WindOn,104300.0,1043
NOR,WindOff,47000.0,470
NOR,WindOn,253900.0,2539
POL,Gas,10500.0,42
POL,WindOn,30900.0,309
POR,Gas,1500.0,6
POR,SunPV,550.0,11
POR,WindOn,2600.0,26
SKO,Nuclear,3000.0,3
SPA,Nuclear,27000.0,27
SWE,Nuclear,11000.0,11
SWE,WindOn,5000.0,50
SWI,Nuclear,16000.0,16
UKI,Nuclear,45000.0,45
